k_components,pca_components,scaler,distance_metrics
13,600,GrayScaler,cosine
14,600,GrayScaler,cosine
15,600,GrayScaler,cosine
10,650,GrayScaler,cosine
11,650,GrayScaler,cosine
12,650,GrayScaler,cosine
13,650,GrayScaler,cosine
14,650,GrayScaler,cosine
15,650,GrayScaler,cosine
10,700,GrayScaler,cosine
11,700,GrayScaler,cosine
12,700,GrayScaler,cosine
13,700,GrayScaler,cosine
14,700,GrayScaler,cosine
15,700,GrayScaler,cosine
10,450,GrayScaler,cosine
11,450,GrayScaler,cosine
12,450,GrayScaler,cosine
13,450,GrayScaler,cosine
14,450,GrayScaler,cosine
15,450,GrayScaler,cosine
