k_component,pca_component,scaler,distance_metric,avg_accuracy
10,450,,cosine,0.5322
11,450,,cosine,0.5579999999999999
12,450,,cosine,0.5841999999999998
13,450,,cosine,0.5942000000000001
14,450,,cosine,0.5983999999999998
15,450,,cosine,0.6086
10,,StandardScaler,cosine,0.5596
11,,StandardScaler,cosine,0.5761999999999999
12,,StandardScaler,cosine,0.5878
13,,StandardScaler,cosine,0.5980000000000001
14,,StandardScaler,cosine,0.6113999999999998
15,,StandardScaler,cosine,0.6227999999999999
10,500,StandardScaler,cosine,0.5184000000000001
11,500,StandardScaler,cosine,0.5328
12,500,StandardScaler,cosine,0.5501999999999999
13,500,StandardScaler,cosine,0.5651999999999999
14,500,StandardScaler,cosine,0.5686
15,500,StandardScaler,cosine,0.5968
10,550,StandardScaler,cosine,0.5059999999999999
11,550,StandardScaler,cosine,0.5316
12,550,StandardScaler,cosine,0.5458000000000001
13,550,StandardScaler,cosine,0.5668000000000002
14,550,StandardScaler,cosine,0.5754
15,550,StandardScaler,cosine,0.5910000000000001
10,600,StandardScaler,cosine,0.5098
11,600,StandardScaler,cosine,0.5274
12,600,StandardScaler,cosine,0.5501999999999999
13,600,StandardScaler,cosine,0.5539999999999999
14,600,StandardScaler,cosine,0.5764
15,600,StandardScaler,cosine,0.5982000000000002
10,650,StandardScaler,cosine,0.5144000000000001
11,650,StandardScaler,cosine,0.5242
12,650,StandardScaler,cosine,0.5501999999999999
13,650,StandardScaler,cosine,0.5619999999999998
14,650,StandardScaler,cosine,0.5746000000000001
15,650,StandardScaler,cosine,0.6007999999999999
10,700,StandardScaler,cosine,0.512
11,700,StandardScaler,cosine,0.5289999999999999
12,700,StandardScaler,cosine,0.5414
13,700,StandardScaler,cosine,0.5690000000000002
14,700,StandardScaler,cosine,0.5768
15,700,StandardScaler,cosine,0.5836
10,450,StandardScaler,cosine,0.5182
11,450,StandardScaler,cosine,0.5192
12,450,StandardScaler,cosine,0.5378000000000001
13,450,StandardScaler,cosine,0.5676
14,450,StandardScaler,cosine,0.5730000000000001
15,450,StandardScaler,cosine,0.584
10,,GrayScaler,cosine,0.5589999999999999
11,,GrayScaler,cosine,0.5676
12,,GrayScaler,cosine,0.5906
13,,GrayScaler,cosine,0.599
14,,GrayScaler,cosine,0.6118
15,,GrayScaler,cosine,0.6182
10,500,GrayScaler,cosine,0.5504
11,500,GrayScaler,cosine,0.5676000000000001
12,500,GrayScaler,cosine,0.5794
13,500,GrayScaler,cosine,0.5870000000000001
14,500,GrayScaler,cosine,0.594
15,500,GrayScaler,cosine,0.6065999999999999
10,550,GrayScaler,cosine,0.5471999999999999
11,550,GrayScaler,cosine,0.5642000000000001
12,550,GrayScaler,cosine,0.5760000000000001
13,550,GrayScaler,cosine,0.5878
14,550,GrayScaler,cosine,0.6058
15,550,GrayScaler,cosine,0.6152
10,600,GrayScaler,cosine,0.551
11,600,GrayScaler,cosine,0.5654
12,600,GrayScaler,cosine,0.5743999999999999
13,600,GrayScaler,cosine,0.5862
14,600,GrayScaler,cosine,0.5928000000000001
15,600,GrayScaler,cosine,0.6060000000000001
10,650,GrayScaler,cosine,0.5494000000000001
11,650,GrayScaler,cosine,0.5588
12,650,GrayScaler,cosine,0.5770000000000001
13,650,GrayScaler,cosine,0.5948
14,650,GrayScaler,cosine,0.5974
15,650,GrayScaler,cosine,0.6083999999999999
10,700,GrayScaler,cosine,0.5470000000000002
11,700,GrayScaler,cosine,0.5642
12,700,GrayScaler,cosine,0.5748000000000001
13,700,GrayScaler,cosine,0.5815999999999999
14,700,GrayScaler,cosine,0.5956
15,700,GrayScaler,cosine,0.6076
10,450,GrayScaler,cosine,0.553
11,450,GrayScaler,cosine,0.5692
12,450,GrayScaler,cosine,0.569
13,450,GrayScaler,cosine,0.592
14,450,GrayScaler,cosine,0.6002
15,450,GrayScaler,cosine,0.6103999999999999
