num_epochs,learning_rate,lr_decay_factor,lr_decay_step,final_train_loss,final_valid_loss,final_train_acc,final_valid_acc
550,0.001,0.3,350,1.4679538048803806,1.6283200979232788,0.993,0.82
550,0.001,1,100,1.466517973691225,1.6326448023319244,0.9945,0.835
550,0.001,1,250,1.4727261438965797,1.6093198955059052,0.988,0.845
550,0.001,1,350,1.467635877430439,1.5809929072856903,0.9935,0.845
550,0.005,0.1,100,1.4752604700624943,1.64116832613945,0.9855,0.875
550,0.005,0.1,250,1.4870290011167526,1.6127919256687164,0.9735,0.84
550,0.005,0.1,350,1.4821460843086243,1.6291687488555908,0.9785,0.82
550,0.005,0.2,100,1.4767168499529362,1.5972435474395752,0.984,0.865
550,0.005,0.2,250,1.4836109802126884,1.6169672310352325,0.977,0.835
550,0.005,0.2,350,1.4718922525644302,1.6126676201820374,0.989,0.845
550,0.005,0.3,100,1.477600570768118,1.6030124425888062,0.983,0.85
550,0.005,0.3,250,1.4757988341152668,1.6348131597042084,0.985,0.86
550,0.005,0.3,350,1.4860524870455265,1.6450686752796173,0.9745,0.835
550,0.005,1,100,1.486540760844946,1.6213008761405945,0.974,0.83
550,0.005,1,250,1.5253912955522537,1.6189448237419128,0.9355,0.83
550,0.005,1,350,1.5012342408299446,1.5640672147274017,0.959,0.87
550,0.01,0.1,100,1.5011891946196556,1.674548864364624,0.9605,0.825
550,0.01,0.1,250,1.5197439044713974,1.6369314789772034,0.9415,0.845
550,0.01,0.1,350,1.5368337146937847,1.722865492105484,0.924,0.805
550,0.01,0.2,100,1.497282937169075,1.5705251693725586,0.9645,0.86
550,0.01,0.2,250,1.509489968419075,1.6213064193725586,0.952,0.83
550,0.01,0.2,350,1.5334157571196556,1.6564623415470123,0.9275,0.82
550,0.01,0.3,100,1.4928169772028923,1.6174239218235016,0.9675,0.835
550,0.01,0.3,250,1.5090016573667526,1.6327992677688599,0.951,0.85
550,0.01,0.3,350,1.4997191540896893,1.5781892836093903,0.9605,0.85
550,0.01,1,100,1.5715017020702362,1.6647802591323853,0.8885,0.775
550,0.01,1,250,1.550993874669075,1.7463280260562897,0.9095,0.775
550,0.01,1,350,1.5270681083202362,1.6401665210723877,0.934,0.805
1100,0.001,0.1,100,1.471662301570177,1.6053266525268555,0.989,0.86
1100,0.001,0.1,250,1.4726528376340866,1.621229201555252,0.988,0.825
1100,0.001,0.1,350,1.4688392244279385,1.6574571430683136,0.992,0.855
1100,0.001,0.2,100,1.4726603254675865,1.653850257396698,0.988,0.84
1100,0.001,0.2,250,1.4711951352655888,1.6380859911441803,0.9895,0.84
1100,0.001,0.2,350,1.4697564207017422,1.5948614180088043,0.9925,0.865
1100,0.001,0.3,100,1.4716441258788109,1.6471603512763977,0.989,0.865
1100,0.001,0.3,250,1.4743182621896267,1.590937852859497,0.986,0.845
1100,0.001,0.3,350,1.4659689292311668,1.5980018377304077,0.995,0.855
1100,0.001,1,100,1.465503092855215,1.5733687579631805,0.9955,0.86
1100,0.001,1,250,1.4708890281617641,1.6440891027450562,0.99,0.85
1100,0.001,1,350,1.4688974656164646,1.586219996213913,0.992,0.84
1100,0.005,0.1,100,1.4780162945389748,1.6680485308170319,0.984,0.84
1100,0.005,0.1,250,1.4816173426806927,1.597522497177124,0.979,0.86
1100,0.005,0.1,350,1.4884186796844006,1.603430449962616,0.972,0.83
1100,0.005,0.2,100,1.4785334207117558,1.6263920664787292,0.9835,0.86
1100,0.005,0.2,250,1.479216530919075,1.640355497598648,0.983,0.84
1100,0.005,0.2,350,1.4753102771937847,1.6789374351501465,0.9855,0.86
1100,0.005,0.3,100,1.481476154178381,1.6215629279613495,0.979,0.83
1100,0.005,0.3,250,1.4821452610194683,1.6036700904369354,0.9785,0.855
1100,0.005,0.3,350,1.4801930896937847,1.673602133989334,0.9805,0.835
1100,0.005,1,100,1.4904469773173332,1.6138847172260284,0.97,0.84
1100,0.005,1,250,1.4909352734684944,1.5731582641601562,0.9695,0.855
1100,0.005,1,350,1.4938649237155914,1.5900581181049347,0.968,0.87
1100,0.01,0.1,100,1.4970266781747341,1.5981907844543457,0.963,0.86
1100,0.01,0.1,250,1.5133962370455265,1.6212139129638672,0.9465,0.83
1100,0.01,0.1,350,1.4884938634932041,1.6358572244644165,0.972,0.85
1100,0.01,0.2,100,1.5065424293279648,1.563647836446762,0.9535,0.87
1100,0.01,0.2,250,1.4997243322432041,1.617401659488678,0.9605,0.835
1100,0.01,0.2,350,1.5251149870455265,1.671854853630066,0.936,0.8
1100,0.01,0.3,100,1.4992003291845322,1.6322567760944366,0.9625,0.815
1100,0.01,0.3,250,1.503630567342043,1.6213064193725586,0.9565,0.83
1100,0.01,0.3,350,1.4943532682955265,1.6121637225151062,0.9675,0.84
1100,0.01,1,100,1.651579860597849,1.738493949174881,0.8125,0.75
1100,0.01,1,250,1.583708729594946,1.7111501693725586,0.879,0.785
1100,0.01,1,350,1.5480641797184944,1.613493949174881,0.9125,0.84
