num_epochs,learning_rate,lr_decay_factor,lr_decay_step,final_train_loss,final_valid_loss,final_train_acc,final_valid_acc
250,0.001,0.1,100,1.4736041612923145,1.6048965454101562,0.987,0.835
250,0.001,0.1,250,1.4746625125408173,1.6214991211891174,0.9875,0.83
250,0.001,0.1,350,1.475130245089531,1.6196093559265137,0.9855,0.875
250,0.001,0.2,100,1.469796247780323,1.6340530514717102,0.991,0.855
250,0.001,0.2,250,1.4698728173971176,1.5720477104187012,0.991,0.86
250,0.001,0.2,350,1.4736337140202522,1.6117258965969086,0.987,0.84
250,0.001,0.3,100,1.4727023243904114,1.5903284549713135,0.988,0.865
250,0.001,0.3,250,1.4736842103302479,1.6701961755752563,0.987,0.835
250,0.001,0.3,350,1.4727773815393448,1.6601825654506683,0.988,0.85
250,0.001,1,100,1.470812264829874,1.6347375512123108,0.99,0.835
250,0.001,1,250,1.473614938557148,1.639409601688385,0.987,0.84
250,0.001,1,350,1.4694039709866047,1.6085525155067444,0.992,0.85
250,0.005,0.1,100,1.4776759780943394,1.6220081746578217,0.9845,0.825
250,0.005,0.1,250,1.4850759245455265,1.6459376215934753,0.9755,0.83
250,0.005,0.1,350,1.5450340658426285,1.6590493619441986,0.9175,0.82
250,0.005,0.2,100,1.4771620482206345,1.598077416419983,0.9835,0.86
250,0.005,0.2,250,1.483120046555996,1.6137957274913788,0.9775,0.84
250,0.005,0.2,350,1.5140314623713493,1.5868819653987885,0.947,0.875
250,0.005,0.3,100,1.486512590199709,1.6118009090423584,0.974,0.845
250,0.005,0.3,250,1.4826340787112713,1.6178589165210724,0.978,0.835
250,0.005,0.3,350,1.4870149232447147,1.618391990661621,0.975,0.83
250,0.005,1,100,1.4850754737854004,1.6022385656833649,0.977,0.855
250,0.005,1,250,1.4801931120455265,1.596645474433899,0.9805,0.865
250,0.005,1,350,1.477751724421978,1.652261734008789,0.983,0.825
250,0.01,0.1,100,1.5124196968972683,1.6915996074676514,0.9505,0.81
250,0.01,0.1,250,1.517302479594946,1.6608260869979858,0.944,0.815
250,0.01,0.1,350,1.5519714653491974,1.6134902238845825,0.91,0.805
250,0.01,0.2,100,1.4948413707315922,1.6473262012004852,0.9655,0.83
250,0.01,0.2,250,1.5366894491016865,1.6799001693725586,0.9225,0.825
250,0.01,0.2,350,1.529509525746107,1.6330251693725586,0.9315,0.85
250,0.01,0.3,100,1.4948415234684944,1.6528047621250153,0.967,0.86
250,0.01,0.3,250,1.5168142020702362,1.6994304060935974,0.9475,0.835
250,0.01,0.3,350,1.5432380624115467,1.63302481174469,0.9175,0.815
250,0.01,1,100,1.5711103864014149,1.6407669186592102,0.89,0.805
250,0.01,1,250,1.5401892103254795,1.7228630781173706,0.919,0.805
250,0.01,1,350,1.505583718419075,1.609604299068451,0.956,0.845
550,0.001,0.1,100,1.4740779995918274,1.5737504661083221,0.9865,0.88
550,0.001,0.1,250,1.470275204628706,1.581423431634903,0.9905,0.84
550,0.001,0.1,350,1.4687978811562061,1.5729141235351562,0.992,0.855
550,0.001,0.2,100,1.4683666676282883,1.592733085155487,0.9925,0.875
550,0.001,0.2,250,1.4716590717434883,1.639468014240265,0.989,0.86
550,0.001,0.2,350,1.4760526269674301,1.6447288691997528,0.9845,0.86
550,0.001,0.3,100,1.4716902151703835,1.569970279932022,0.9905,0.86
550,0.001,0.3,250,1.471219826489687,1.6024430692195892,0.9895,0.855
