num_epochs,learning_rate,final_train_loss,final_valid_loss,final_train_acc,final_valid_acc
1800,0.001,1.0084260310977697,1.001386135816574,0.576,0.59
1800,0.005,0.9315710198134184,0.9364723712205887,0.534,0.545
1800,0.01,0.8737584874033928,0.8693570643663406,0.77,0.805
2400,0.001,0.9872969351708889,0.9805894196033478,0.519,0.505
2400,0.005,0.7797323912382126,0.7485537081956863,0.816,0.845
2400,0.01,0.7498273868113756,0.7112477719783783,0.825,0.85
3800,0.001,0.9984151609241962,0.9741160869598389,0.4995,0.485
3800,0.005,0.7677215952426195,0.7548488080501556,0.8135,0.845
3800,0.01,0.7388557884842157,0.6935310810804367,0.825,0.855
